"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","10","11","99","19","7","""-1422137038""","6758","6758","6758","0","6758"
"1","2","10","11","99","19","7","""2111689724""","6676","6676","6676","0","6676"
"1","3","10","11","99","19","7","""700863247""","6923","6923","6923","0","6923"
"1","4","10","11","99","19","7","""1401107172""","6916","6916","6916","0","6916"
"1","5","10","11","99","19","7","""628105690""","7031","7031","7031","0","7031"
"1","6","10","11","99","19","7","""1587386156""","6860","6860","6860","0","6860"
"1","7","10","11","99","19","7","""2026690252""","6876","6876","6876","0","6876"
"1","8","10","11","99","19","7","""-1465063976""","6797","6797","6797","0","6797"
"1","9","10","11","99","19","7","""-250815209""","6748","6748","6748","0","6748"
"1","10","10","11","99","19","7","""-1970174178""","6946","6946","6946","0","6946"
"1","11","20","11","99","18","7","""1907768783""","6769","6769","6769","0","6769"
"1","12","20","11","99","18","7","""2131917123""","6720","6720","6720","0","6720"
"1","13","20","11","99","18","7","""534953974""","6969","6969","6969","0","6969"
"1","14","20","11","99","18","7","""-225152108""","6998","6998","6998","0","6998"
"1","15","20","11","99","18","7","""-1034528652""","6947","6947","6947","0","6947"
"1","16","20","11","99","18","7","""1124337331""","6758","6758","6758","0","6758"
"1","17","20","11","99","18","7","""1287659897""","6869","6869","6869","0","6869"
"1","18","20","11","99","18","7","""903484412""","6816","6816","6816","0","6816"
"1","19","20","11","99","18","7","""-1433367232""","6783","6783","6783","0","6783"
"1","20","20","11","99","18","7","""-1407156071""","6845","6845","6845","0","6845"
"1","21","40","11","99","20","14","""1125438198""","6886","6886","6886","0","6886"
"1","22","40","11","99","20","14","""-1226213876""","6851","6851","6851","0","6851"
"1","23","40","11","99","20","14","""-1864896450""","6896","6896","6896","0","6896"
"1","24","40","11","99","20","14","""1016601152""","6823","6823","6823","0","6823"
"1","25","40","11","99","20","14","""895157277""","7015","7015","7015","0","7015"
"1","26","40","11","99","20","14","""-377234792""","6934","6934","6934","0","6934"
"1","27","40","11","99","20","14","""-289043903""","6880","6880","6880","0","6880"
"1","28","40","11","99","20","14","""-109628731""","6765","6765","6765","0","6765"
"1","29","40","11","99","20","14","""-1794480863""","6974","6974","6974","0","6974"
"1","30","40","11","99","20","14","""-1127536194""","6762","6762","6762","0","6762"
"1","31","50","52","99","20","-5","""1890918241""","31904","31904","31904","0","31904"
"1","32","50","52","99","20","-5","""-1166305178""","31976","31976","31976","0","31976"
"1","33","50","52","99","20","-5","""493774618""","32033","32033","32033","0","32033"
"1","34","50","52","99","20","-5","""-905190964""","32253","32253","32253","0","32253"
"1","35","50","52","99","20","-5","""954188920""","31895","31895","31895","0","31895"
"1","36","50","52","99","20","-5","""-1061413262""","31625","31625","31625","0","31625"
